movieId,title,genres,year,vote_count,vote_average,wr
321,草莓和巧克力,Drama,1993,81482,4.413576004516335,4.40680722180051
881,第一公子,Children|Comedy,1996,52498,4.324336165187245,4.314556092860706
50,非常嫌疑犯,Crime|Mystery|Thriller,1995,55366,4.284353213163313,4.275372047353893
1260,M就是凶手,Crime|Film-Noir|Thriller,1931,34188,4.2617585117585115,4.247549996513188
531,秘密花园,Children|Drama,1993,60411,4.247579083279535,4.23959255276458
3071,为人师表,Comedy|Drama,1988,58773,4.228310618821568,4.22023751274546
2123,快乐神仙狗,Animation|Children|Comedy|Drama|Fantasy,1989,13367,4.25476920775043,4.21930170024331
929,海外特派员,Drama|Film-Noir|Mystery|Thriller,1940,20162,4.237947624243627,4.2145311022771725
1242,光荣战役,Drama|War,1989,16569,4.243014062405697,4.214519928709977
1231,太空先锋,Drama,1983,36058,4.2186616007543405,4.205669639696
768,Tuđa Amerika,Drama,1995,26714,4.215804447106386,4.198380854106713
5755,祝我生日快乐,Horror|Mystery,1981,22719,4.212267265284564,4.191897692778524
937,黄昏之恋,Comedy|Romance,1957,26890,4.206563778356267,4.1893922803117905
299,神父同志,Drama,1994,79672,4.188912039361382,4.183148872190208
933,捉贼记,Crime|Mystery|Romance|Thriller,1955,16850,4.196617210682493,4.169696891001148
1252,唐人街,Crime|Film-Noir|Mystery|Thriller,1974,32663,4.1805253650920005,4.1666760620798415
6153,脸红心跳,Comedy|Sci-Fi,1982,19894,4.18158741329044,4.15900809717599
200810,"Hi, A.I.",Documentary,2019,41519,4.166538211421277,4.15575163191245
169744,Zombie Pizza,Comedy|Horror,2017,9177,4.200392285060477,4.151770326314162
2681,Free Enterprise,Comedy|Romance|Sci-Fi,1998,72674,4.154099127610975,4.147980864303539
947,我的戈弗雷,Comedy|Romance,1936,7368,4.20650108577633,4.146250794159211
600,情人与枪,Action|Comedy|Crime,1994,74127,4.151341616415071,4.145357894142109
1251,八部半,Drama|Fantasy,1963,7194,4.201487350569919,4.140131119935956
4352,来电的感觉,Comedy|Drama,1989,41195,4.1499575191163975,4.139251524450894
1234,骗中骗,Comedy|Crime,1973,57361,4.144122313069856,4.136453723636114
2432,真爱同心,Drama,1998,23976,4.154341841841842,4.1360030107570145
