movieId,title,year,vote_count,vote_average,wr
881,第一公子,1996,52498,4.324336165187245,4.313733059394693
531,秘密花园,1993,60411,4.247579083279535,4.239000443136779
2123,快乐神仙狗,1989,13367,4.25476920775043,4.216850195811452
262,小公主,1995,68717,4.120188599618726,4.113584621267118
546,超级马里奥兄弟,1993,36702,4.115838373930576,4.103613363088248
616,猫儿历险记,1970,47823,4.111421282646425,4.102055870434525
1302,梦幻之地,1989,11265,4.103683976919663,4.065588531770607
2048,妙妙探,1986,5880,4.127636054421768,4.055531014110485
2294,蚁哥正传,1998,5457,4.1165475536008795,4.040288436728683
194610,海上浮城,2018,18474,4.026144852224748,4.004611076481721
953,生活多美好,1946,4905,4.070234454638125,3.9905983239867906
2053,亲爱的，我把孩子放大了,1992,3492,4.048539518900344,3.9435953362673177
596,木偶奇遇记,1940,57379,3.94637410899458,3.9400193840688242
2052,女巫也疯狂,1993,2064,4.104893410852713,3.930581968352712
1021,Angels in the Outfield,1994,4844,4.003922378199835,3.929738735678753
2899,小人国,1939,5875,3.9833191489361703,3.9227639303186237
2056,In Search of the Castaways,1962,8571,3.940030334850076,3.899893690342068
2042,野鸭变凤凰2,1994,1857,4.077005923532579,3.893518727020255
1,玩具总动员,1995,57309,3.893707794587238,3.887813357326515
1282,幻想曲,1940,4013,3.9330924495389983,3.8533299898426305
2124,亚当斯一家,1991,7103,3.8842742503167678,3.8401630866006227
7164,小飞侠彼得潘,2003,1843,3.9877916440586003,3.8226638654190515
2047,The Gnome-Mobile,1967,2797,3.9286735788344656,3.820301497529184
2059,天生一对,1998,4153,3.882855766915483,3.8110170133752512
588,阿拉丁,1992,1756,3.9786446469248293,3.809258171653723
5092,超级大骗子,2002,31775,3.80918961447679,3.7999787603757222
3189,我的小狗斯齐普,1999,1086,4.059852670349908,3.7934455544565697
1097,E.T. 外星人,1982,1318,3.9677541729893777,3.7609205142589914
6798,龙蛇小霸王,1976,978,4.028629856850716,3.75368963535301
2709,太空木偶历险记,1999,13275,3.7711487758945386,3.7509974905734813
2034,黑洞,1979,1795,3.899442896935933,3.750543225060473
4039,安妮,1982,9392,3.7734241908006814,3.7452557287669466
128171,无敌当家5,2003,1069,3.9845650140318054,3.7397360361508847
2050,金龟车大闹南美洲,1980,8547,3.752076752076752,3.722491854805273
3754,波波鹿与飞天鼠,2000,887,4.0,3.717700027141362
2017,玩具国历险记,1961,2505,3.8159680638722553,3.7162959447527557
26448,Pelle Svanslös,1981,11432,3.7374912526242126,3.7156786651391798
2399,圣诞总动员,1985,23807,3.726025958751628,3.715554348459739
2057,一猫二狗三分亲,1963,16918,3.728691334673129,3.7140028108410847
26093,童话世界,1962,931,3.976906552094522,3.7114162500135803
1566,大力士,1997,13905,3.7289104638619204,3.7111447691915846
140491,"Puff, the Magic Dragon",1978,4973,3.7541725316710237,3.7051203247830466
6946,华纳巨星总动员,2003,4020,3.7648009950248755,3.7042335784594864
595,美女与野兽,1991,43373,3.6987526802388584,3.693268914525999
131058,圣诞老人的学徒,2010,3954,3.749494183105716,3.6897923358296296
8574,Claymation Christmas Celebration,1987,1058,3.895557655954631,3.6781105726044148
484,新灵犬莱西,1994,64144,3.6791749812920926,3.675608421536452
130794,Beauty and the Beast,1987,2117,3.7831837505904584,3.6752144587272397
1525,五行战士,1997,4630,3.723110151187905,3.673889769823792
126,大魔域3：飞进未来,1994,3231,3.744196843082637,3.6736953103021843
2037,古堡风云,1977,888,3.918918918918919,3.666538877171935
5099,海蒂,1937,1005,3.889054726368159,3.6662195141029885
2800,小尼莫梦乡历险记,1992,2705,3.743992606284658,3.662002671187903
7224,惨绿少年,1948,1134,3.8567019400352733,3.661399561851936
2041,Condorman,1981,1142,3.850262697022767,3.657902040113311
3672,狗侦探,1974,9274,3.6752749622600818,3.651919144038458
2045,A Far Off Place,1993,876,3.8978310502283104,3.651067922017283
2015,飞天老爷车,1961,7438,3.6761898359774134,3.647382252825728
187325,小鸟派,1947,2852,3.7203716690042077,3.6455684229661953
7174,酷狗上学记,2004,825,3.903030303030303,3.6448716746486554
6958,鬼屋,2003,1293,3.8054911059551433,3.64193834293758
2016,The Apple Dumpling Gang Rides Again,1979,1751,3.741576242147344,3.6255979327179535
2038,鬼马太空猫,1978,913,3.8285870755750273,3.6131582548497474
2051,金龟车大闹蒙特卡罗,1977,1232,3.760146103896104,3.6042239649556764
34,小猪宝贝,1995,31456,3.6031917599186163,3.597199675882227
3287,跳跳虎历险记,2000,14659,3.6077836141619484,3.595002517532665
3991,102真狗,2000,8286,3.6152546463915036,3.592780994797566
186743,നോർത്ത് 24 കാതം,2013,4656,3.629725085910653,3.590033308448996
917,小公主,1939,1266,3.731042654028436,3.5865008416786264
