movieId,title,year,vote_count,vote_average,wr
321,草莓和巧克力,1993,81482,4.413576004516335,4.37617616299573
531,秘密花园,1993,60411,4.247579083279535,4.204470903145828
3071,为人师表,1988,58773,4.228310618821568,4.184862194033051
299,神父同志,1994,79672,4.188912039361382,4.1577394195623105
1231,太空先锋,1983,36058,4.2186616007543405,4.150315535133818
768,Tuđa Amerika,1995,26714,4.215804447106386,4.1259104571787395
929,海外特派员,1940,20162,4.237947624243627,4.11964332306547
1242,光荣战役,1989,16569,4.243014062405697,4.101830373841662
4352,来电的感觉,1989,41195,4.1499575191163975,4.093682686600084
262,小公主,1995,68717,4.120188599618726,4.086714279254491
2123,快乐神仙狗,1989,13367,4.25476920775043,4.083336804475903
1236,信任,1990,54675,4.123923182441701,4.082070972665714
1235,哈洛与慕德,1971,37863,4.129097007632781,4.069517310891119
2437,王尔德,1997,31157,4.1400006419103255,4.067744338024632
2969,一个男人和一个女人,1966,53689,4.107340423550448,4.065515530869671
2432,真爱同心,1998,23976,4.154341841841842,4.06115373703337
5122,往事如烟,1971,55736,4.091188818716808,4.0515469196933775
1247,毕业生,1967,26370,4.114713689799014,4.032764514947312
296,低俗小说,1994,33680,4.0885985748218525,4.025028736642543
1246,死亡诗社,1989,15986,4.146440635556112,4.014249430454921
1273,不法之徒,1986,15675,4.142360446570973,4.008494211563338
2132,灵欲春宵,1966,46783,4.044107902443195,3.9997381103136
1253,地球停转之日,1951,36357,4.055518882196001,3.998512309894721
928,蝴蝶梦,1940,15945,4.120821574161179,3.991907246231964
1183,英国病人,1996,15270,4.124787164374591,3.9904248467969996
948,巨人传,1956,19091,4.092687653868315,3.985837710299028
3112,"'night, Mother",1986,13136,4.138093788063338,3.983303134473227
1243,君臣人子小命呜呼,1990,13173,4.136035830866166,3.981945895389331
1272,巴顿将军,1970,13573,4.1270905474103,3.9782454114188632
1264,歌剧红伶,1981,21085,4.069599241166706,3.9742701416003667
111,出租车司机,1976,59184,4.002272573668559,3.9685595128833486
2873,Lulu on the Bridge,1998,46713,4.009751032903046,3.967117267855906
3259,大地雄心,1992,30482,4.027754084377666,3.9627855750545202
1298,迷墙,1982,29931,4.0278640874010225,3.9617857919532544
763,告别17岁,1996,12241,4.104362388693734,3.946099231230357
6108,瓦伦之夜,1982,9340,4.1524625267665956,3.94527161906038
798,十万火急,1996,28702,4.007664971082154,3.940657350435461
1251,八部半,1963,7194,4.201487350569919,3.9358654580103325
204566,女人，四十,1995,27374,4.004931687002265,3.9351889496695938
1302,梦幻之地,1989,11265,4.103683976919663,3.93439153162186
461,钓鱼去,1994,49638,3.9721584270115637,3.933770950630086
1209,西部往事,1968,9456,4.1310807952622675,3.930471540320224
1286,时光倒流七十年,1980,18724,4.031510361033967,3.930231681708813
194610,海上浮城,2018,18474,4.026144852224748,3.9243214039829875
130916,Max et Jérémie,1992,11987,4.080128472511888,3.9233997353923336
1245,米勒的十字路口,1990,29856,3.9841907824222935,3.9214350198273156
1346,豹人,1982,15265,4.039633147723551,3.917549507746333
949,伊甸园之东,1955,28820,3.981349757113116,3.9167570674096086
979,Nothing Personal,1995,15384,4.032858814352574,3.9125571674761543
4073,心狂线索,2001,22066,3.993678056738874,3.9100941293592215
1299,杀戮战场,1984,22694,3.991010839869569,3.9097760660704015
1833,终极密码战,1998,27826,3.9743764824265075,3.9082642277204944
5124,Town Without Pity,1961,31760,3.9610988664987405,3.9035581757522335
2611,文斯洛男孩,1999,22957,3.982837478764647,3.903265383822768
1237,第七封印,1957,15455,4.014331931413782,3.8971552780043806
996,终极悍将,1996,10279,4.065862437980348,3.8911814765822146
924,2001太空漫游,1968,10895,4.050986691142726,3.8871397000001933
